Trial_id,Probe,Target,word2vec,pcelex,tcelex,plog10,tlog10,trial_pres_id,probe_onset,probe_durat,fixa1_onset,fixa1_durat,target_onset,target_durat,target_offset,fixa2_onset,fixa2_durat,RT,KeyPress,runid
107,dirt,gravestone,0.261006171,19.89,0.73,1.32,0.24,45,401.9957619,1.5,403.4894691,1.5,404.9829619,1.5,406.320617,407.978997,3,1.337655067,1,3
15,syrup,ankle,0.041178138,6.31,10.34,0.86,1.05,46,410.999913,1.5,412.4933748,1.5,413.9873319,1.5,415.0874009,416.9831328,3,1.100069046,2,3
191,paramedic,ambulance,0.66213347,0,7.65,0,0.94,47,419.9956429,1.5,421.489341,1.5,422.9828799,1.5,423.631186,425.978668,3,0.648306131,1,3
143,jug,water,0.351800067,8.49,432.91,0.98,2.64,48,428.9997149,1.5,430.4932249,1.5,431.987123,1.5,432.8929548,434.98295,3,0.905831814,1,3
112,funeral,candle,0.270873822,21.9,7.82,1.36,0.95,1,5.997694969,1.5,7.491587162,1.5,8.98517108,1.5,9.960374117,11.98115897,3,0.975203037,1,4
68,gate,bull,0.15122355,50,25.75,1.71,1.43,2,14.99362397,1.5,16.48736215,1.5,17.98087716,1.5,18.60616112,20.97689605,3,0.625283957,2,4
16,wheat,trophy,0.043240967,29.44,2.46,1.48,0.54,3,23.99754715,1.5,25.49145508,1.5,26.98517704,1.5,27.75793815,29.98097897,3,0.772761106,2,4
8,cod,pen,0.005448082,9.72,19.44,1.03,1.31,4,33.001827,1.5,34.49552417,1.5,35.989043,1.5,36.55471706,38.98505211,3,0.565674067,2,4
56,vinegar,bone,0.129882703,8.66,27.26,0.98,1.45,5,41.99733901,1.5,43.49127316,1.5,44.98479199,1.5,46.3834331,47.980793,3,1.398641109,2,4
4,television,root,-0.027869844,113.58,22.96,2.06,1.38,6,51.00162315,1.5,52.49535918,1.5,53.9888432,1.5,55.19524813,56.9848702,3,1.206404924,2,4
128,classroom,easel,0.309110914,15.2,1.9,1.21,0.46,7,59.99735403,1.5,61.49108315,1.5,62.98461103,1.5,64.12202501,65.98061299,3,1.137413979,2,4
168,pram,baby,0.461322629,5.31,183.3,0.8,2.27,8,69.00145102,1.5,70.49516606,1.5,71.9886272,1.5,72.76081514,74.98439407,3,0.772187948,1,4
76,turban,cedar,0.158487209,2.4,2.12,0.53,0.49,9,77.99718618,1.5,79.4909122,1.5,80.98463011,1.5,82.20658207,83.98039198,3,1.221951962,2,4
64,tornado,pup,0.148379156,1.9,0.89,0.46,0.28,10,87.0012691,1.5,88.49498701,1.5,89.98847914,1.5,90.92635798,92.98430109,3,0.937878847,2,4
